t,total_ins_0,"f(0, 0)","f(0, 1)","f(0, 2)","f(0, 3)","f(0, 4)",Soma(0)
1.1800000000,0.9029873227,0.0352989631,0.2142574918,0.3689772128,0.2844536549,0.0970126773,1.0000000000
1.1900000000,0.9029805196,0.0352962394,0.2142511336,0.3689734806,0.2844596661,0.0970194804,1.0000000000
1.2000000000,0.9029740155,0.0352936382,0.2142450582,0.3689699096,0.2844654095,0.0970259845,1.0000000000
1.2100000000,0.9029677970,0.0352911538,0.2142392529,0.3689664929,0.2844708973,0.0970322030,1.0000000000
1.2200000000,0.9029618517,0.0352887811,0.2142337057,0.3689632241,0.2844761409,0.0970381483,1.0000000000
1.2300000000,0.9029561675,0.0352865149,0.2142284049,0.3689600966,0.2844811512,0.0970438325,1.0000000000
1.2400000000,0.9029507331,0.0352843502,0.2142233395,0.3689571046,0.2844859387,0.0970492669,1.0000000000
1.2500000000,0.9029455374,0.0352822826,0.2142184990,0.3689542422,0.2844905135,0.0970544626,1.0000000000
1.2600000000,0.9029405699,0.0352803076,0.2142138734,0.3689515038,0.2844948851,0.0970594301,1.0000000000
1.2700000000,0.9029358206,0.0352784210,0.2142094529,0.3689488841,0.2844990625,0.0970641794,1.0000000000
1.2800000000,0.9029312799,0.0352766187,0.2142052285,0.3689463781,0.2845030545,0.0970687201,1.0000000000
1.2900000000,0.9029269387,0.0352748971,0.2142011914,0.3689439809,0.2845068694,0.0970730613,1.0000000000
1.3000000000,0.9029227883,0.0352732523,0.2141973332,0.3689416877,0.2845105150,0.0970772117,1.0000000000
1.3100000000,0.9029188201,0.0352716810,0.2141936460,0.3689394942,0.2845139989,0.0970811799,1.0000000000
1.3200000000,0.9029150262,0.0352701798,0.2141901221,0.3689373959,0.2845173284,0.0970849738,1.0000000000
1.3300000000,0.9029113990,0.0352687456,0.2141867542,0.3689353889,0.2845205104,0.0970886010,1.0000000000
1.3400000000,0.9029079312,0.0352673753,0.2141835354,0.3689334691,0.2845235514,0.0970920688,1.0000000000
1.3500000000,0.9029046157,0.0352660660,0.2141804591,0.3689316329,0.2845264577,0.0970953843,1.0000000000
1.3600000000,0.9029014458,0.0352648151,0.2141775189,0.3689298765,0.2845292352,0.0970985542,1.0000000000
1.3700000000,0.9028984152,0.0352636198,0.2141747088,0.3689281967,0.2845318899,0.0971015848,1.0000000000
1.3800000000,0.9028955177,0.0352624778,0.2141720230,0.3689265899,0.2845344270,0.0971044823,1.0000000000
1.3900000000,0.9028927475,0.0352613865,0.2141694559,0.3689250532,0.2845368520,0.0971072525,1.0000000000
1.4000000000,0.9028900990,0.0352603437,0.2141670023,0.3689235834,0.2845391696,0.0971099010,1.0000000000
1.4100000000,0.9028875668,0.0352593473,0.2141646571,0.3689221777,0.2845413847,0.0971124332,1.0000000000
1.4200000000,0.9028851459,0.0352583951,0.2141624155,0.3689208332,0.2845435020,0.0971148541,1.0000000000
1.4300000000,0.9028828313,0.0352574853,0.2141602730,0.3689195474,0.2845455256,0.0971171687,1.0000000000
1.4400000000,0.9028806184,0.0352566158,0.2141582251,0.3689183177,0.2845474598,0.0971193816,1.0000000000
1.4500000000,0.9028785027,0.0352557848,0.2141562677,0.3689171417,0.2845493085,0.0971214973,1.0000000000
1.4600000000,0.9028764800,0.0352549908,0.2141543967,0.3689160169,0.2845510756,0.0971235200,1.0000000000
1.4700000000,0.9028745461,0.0352542320,0.2141526083,0.3689149413,0.2845527646,0.0971254539,1.0000000000
1.4800000000,0.9028726971,0.0352535067,0.2141508988,0.3689139126,0.2845543790,0.0971273029,1.0000000000
1.4900000000,0.9028709294,0.0352528137,0.2141492647,0.3689129288,0.2845559222,0.0971290706,1.0000000000
1.5000000000,0.9028692394,0.0352521513,0.2141477028,0.3689119880,0.2845573972,0.0971307606,1.0000000000
1.5100000000,0.9028676236,0.0352515183,0.2141462098,0.3689110884,0.2845588071,0.0971323764,1.0000000000
1.5200000000,0.9028660787,0.0352509133,0.2141447826,0.3689102280,0.2845601549,0.0971339213,1.0000000000
1.5300000000,0.9028646018,0.0352503351,0.2141434184,0.3689094052,0.2845614431,0.0971353982,1.0000000000
1.5400000000,0.9028631897,0.0352497824,0.2141421143,0.3689086184,0.2845626745,0.0971368103,1.0000000000
1.5500000000,0.9028618396,0.0352492542,0.2141408677,0.3689078660,0.2845638516,0.0971381604,1.0000000000
1.5600000000,0.9028605489,0.0352487494,0.2141396761,0.3689071465,0.2845649768,0.0971394511,1.0000000000
1.5700000000,0.9028593149,0.0352482669,0.2141385370,0.3689064585,0.2845660524,0.0971406851,1.0000000000
1.5800000000,0.9028581350,0.0352478058,0.2141374482,0.3689058006,0.2845670805,0.0971418650,1.0000000000
1.5900000000,0.9028570071,0.0352473650,0.2141364073,0.3689051714,0.2845680633,0.0971429929,1.0000000000
1.6000000000,0.9028559286,0.0352469437,0.2141354123,0.3689045698,0.2845690028,0.0971440714,1.0000000000
1.6100000000,0.9028548976,0.0352465410,0.2141344611,0.3689039945,0.2845699009,0.0971451024,1.0000000000
